"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ctsz",5455.7584179507,0.270677425870706,0.0561100231351671,4.82404766112204,1.40673778991966e-06,8.87725584270351e-06
"Xrn2",1540.00296590152,-0.349226767327823,0.0724174211829575,-4.82241374552024,1.41831367216458e-06,8.9034455126981e-06
"Sapcd2",17.4837486570156,-4.9275302087553,1.02308471949289,-4.81634620757281,1.4621075719373e-06,9.13055718100429e-06
"Vapb",3046.39951202411,0.259933079334231,0.0540846086305916,4.80604530412015,1.53945028972888e-06,9.56373521961099e-06
"Ntng2",488.480655680253,0.599242971341772,0.124798731364732,4.80167518362384,1.57343771917075e-06,9.7244939447718e-06
"Rapgef4",55.976228505214,1.33117176027393,0.277359384326534,4.79944734340321,1.59104059252058e-06,9.7828598483701e-06
"Ppp2r4",3194.07057673566,-0.242267005008396,0.0505243261949339,-4.79505662428188,1.62628886824544e-06,9.94857322972593e-06
"Gss",335.081311454449,-0.539752665861527,0.112804361320069,-4.78485636144902,1.71109655801111e-06,1.04142374266768e-05
"Dstn",6249.00671821494,0.347945322614742,0.0727600547860002,4.7820926418776,1.73479689953862e-06,1.05051590027616e-05
"1500012F01Rik",624.125858728159,-0.625459262260463,0.131293432798817,-4.76382747352539,1.899549338261e-06,1.1445023399874e-05
"Bmp2",216.062326047788,0.822451496238162,0.173242267782298,4.74740666216447,2.06041421139377e-06,1.23521831973057e-05
"Snx21",674.704454635036,0.575119691886794,0.121400769445191,4.73736447071238,2.16515560929697e-06,1.29155302266023e-05
"Fmn1",295.425544707917,-0.642015972027117,0.136629034210985,-4.69897175029215,2.61474615188941e-06,1.55202011688881e-05
"Cbfa2t2",1148.15224470742,0.257348885041913,0.0548743466205651,4.68978495218142,2.73492326479253e-06,1.61535615491933e-05
"Elmo2",2895.58547953288,0.307121483798027,0.0658268891535687,4.66559316028953,3.07728033678288e-06,1.8086564332366e-05
"Slc17a9",50.0288611431302,-1.57951292126546,0.338863554779677,-4.66120625539809,3.14361491922634e-06,1.83863136007433e-05
"Hnmt",202.900788436213,0.822502719892385,0.176821070715763,4.65161033446373,3.29352978276811e-06,1.91696223764027e-05
"Mtx2",634.73646491777,-0.310073367100097,0.0671934852519499,-4.61463437917292,3.937879229184e-06,2.28092618154185e-05
"Gm13315",389.417811212824,-0.5642789115795,0.12280838736411,-4.59479131426496,4.33182568725459e-06,2.49704759568185e-05
"Slc12a6",1903.05963171095,0.443907117302603,0.0967003933160836,4.59054096968984,4.42098664405997e-06,2.53625023264493e-05
"Rpn2",12316.9391987026,-0.216282861022013,0.0472976358403001,-4.57280490196782,4.81238195090439e-06,2.74764093292113e-05
"Cers6",1758.35343865448,-0.496598852354488,0.108710487191099,-4.56808597942837,4.92198140502723e-06,2.79689843821215e-05
"Set",2714.49395130943,-0.570464545264748,0.125007030789981,-4.56345968430497,5.03174758710654e-06,2.84221557438118e-05
"Cdh4",198.708983436551,0.779935548867991,0.170935953879354,4.56273552267692,5.0491402614111e-06,2.84221557438118e-05
"Ywhab",7728.81113696138,-0.253521781307966,0.0555836179008873,-4.56108815658648,5.08892086047787e-06,2.85122248210886e-05
"Ola1",753.751534209819,-0.421917669218078,0.0928777805325087,-4.54271911752241,5.55332244327116e-06,3.09694586487541e-05
"Acss2",821.12872502567,0.365907069897682,0.0806946407977653,4.53446556401073,5.77495224981514e-06,3.20563321644831e-05
"Tomm34",993.404339640764,0.286036016788631,0.0634297205571731,4.50949514322405,6.49820822345017e-06,3.59048463590634e-05
"Stam2",1139.18742937782,-0.35175043450344,0.0780806884439642,-4.50496072093266,6.63852206279809e-06,3.65118713453895e-05
"Bmf",1534.28442475902,0.557321598518543,0.123799171518062,4.50182009850712,6.7373999417744e-06,3.68864955716324e-05
"Gad2",10.1171449798628,-6.23282980199929,1.38751373285902,-4.49208512636221,7.05292196601474e-06,3.84384247147803e-05
"Col20a1",309.932957688564,0.841724126719652,0.187616420194765,4.48640969615482,7.24333967342737e-06,3.92975758752915e-05
